stop_id,stop_name,stop_lat,stop_lon,stop_desc
4076,RANI LAXMIBAI CHK.,19.0425509169,72.8637739969,Marathi:निलम नगर बिल्डिंग नं. 3 Road:RASHTRASEVIKA LAXMIBAI KELKAR MARG Area:SION (E)
4077,BHANDUP PUMPING CENTRE,19.1444914922,72.950355082,Marathi:भांडुप पंपीग केंद्र Road:VASANTRAO NAIK MARG Area:MULUND (E)
4085,SIDDHIVINAYAK MANDIR,19.0176205273,72.8306411547,Marathi:लोकमत ऑफिस (महापे) Road:RAO BAHADUR S.K.BOLE MARG Area:PRABHADEVI
4086,JOGESHWARI VIKHROLI LINK RD.,19.1250713585,72.9386530136,Marathi:डी. ए. के. सी. गेट नं. 2 Road:VASANTRAO NAIK MARG Area:VIKHROLI (E)
4087,JOGESHWARI VIKHROLI LINK RD.,19.1243009701,72.9380951142,Marathi:शिवाजी महाराज विद्यालय Road:JOGESHWARI-VIKHROLI LINK ROAD Area:VIKHROLI (E)
4088,ANNABHAU SATHE CHK.(THANE),19.1948850345,72.9472194037,Marathi:अण्णाभाऊ साठे चौक(ठाणे) Road:ROAD NO.22 (WAGLE ESTATE-THANE) Area:THANE (W)
4089,DR.AMBEDKAR CHK/INDIRA NGR.,19.1950674171,72.9462323508,Marathi:लीपी कंपनी Road:ROAD NO.22 (WAGLE ESTATE-THANE) Area:THANE (W)
4090,SRUSTHI POLICE STN.,19.2714973064,72.8673169459,Marathi:एल. अण्ड टी. ईन्फोटेक Road:*NAME TO BE CONFIRMED Area:MIRA ROAD (E)
4091,ASMITA SUPPER MARKET,19.2728341506,72.8656432475,Marathi:अस्मीता सुपर मार्केट Road:*NAME TO BE CONFIRMED Area:MIRA ROAD (E)
4092,POONAM SAGAR COMLEX,19.2733607831,72.8630046689,Marathi:निलकमल नाका Road:*NAME TO BE CONFIRMED Area:MIRA ROAD (E)
4093,GAURAV RESIDENCY,19.274438104,72.8612741478,Marathi:साईक्रुपा कॉम्पलेक्स Road:*NAME TO BE CONFIRMED Area:MIRA ROAD (E)
4094,MIRA RD.SEC.NO.10,19.2760243027,72.859925493,Marathi:आंगणवाडी Road:MIRA ROAD STATION(E) Area:MIRA ROAD (E)
4095,MIRA RD.MARKET,19.278890323,72.8577421748,Marathi:सेंट झेवियर हाय स्कुल (काशी गाव) Road:*NAME TO BE CONFIRMED Area:MIRA ROAD (E)
4096,MHADA CLY.(HIRANANDANI),19.1183492372,72.907673183,Marathi: Road:*NAME TO BE CONFIRMED Area:POWAI
4097,GUNDECHA PROJECT,19.1140768158,72.9037099151,Marathi:वेस्टर्न पार्क Road:*NAME TO BE CONFIRMED Area:POWAI
4098,I.R.B.COMPLEX (POWAI),19.1135496733,72.9012637405,Marathi:ईश्वर नगर भांडुप Road:*NAME TO BE CONFIRMED Area:POWAI
4099,KENDRIYA VIHAR(SECT.-12),19.0373350724,73.0655295235,Marathi:कॅसल मिल (ठाणे) Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4100,NAVRANG HOTEL,19.0388766546,73.0668598992,Marathi:गोकुल नगर (ठाणे) Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4101,GOKHALE VIDYALAYA(KHARGHAR),19.0407427614,73.0659157616,Marathi:मुक्ताई नगर (ठाणे) Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4102,SHIVAJI CHK.(KHARGHAR SEC-8),19.0439475479,73.0681902749,Marathi:कुष्ण वाटिका Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4103,SHILP CHK.,19.0473145354,73.069821058,Marathi:सरस्वती कॉम्पलेक्स (दहिसर) Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4104,JALVAYU VIHAR(KHARGHAR),19.0503163703,73.0703360421,Marathi:एस. बी. आय. गोरेगाव Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4106,SANPADA POLICE CHKY,19.062904376,73.0100773193,Marathi:नरेंद्र अपार्टमेंट Road:RAJIV GANDHI MARG Area:SANPADA (NAVI MUMBAI)
4107,VIVEKANAND SCHOOL,19.062904376,73.0138109543,Marathi:गजदर बांध Road:RAJIV GANDHI MARG Area:SANPADA (NAVI MUMBAI)
4108,SANPADA TEL.EX/ST.NIRANKARI BHAVAN,19.0585641969,73.0141113617,Marathi:सांताक्रुज पोलिस चौकी बिट नं. 2 Road:RAJIV GANDHI MARG Area:SANPADA (NAVI MUMBAI)
4109,JUINGR.RLY.STN.,19.055927584,73.0154417373,Marathi:ब्रम्हानंद फेज 5 Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4110,ANIRUDDHA BHAVAN,19.0548729271,73.016643367,Marathi:अनिरुद्ध भवन Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4111,CHINCH0LI TALAO (NAVI-MUMBAI),19.0454618457,73.0177591659,Marathi:सुभाष नगर (ठाणे) Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4112,GANESH CHK.(NERUL-E),19.0405532682,73.0150125839,Marathi:गांधी नगर (ठाणे) Road:*NAME TO BE CONFIRMED Area:NERUL(E)-NAVI MUMBAI
4113,SWATANTRYAVEER SAWARKAR CHK.,19.0404315661,73.0175016739,Marathi:वंसत विहार टेलिफोन एक्सचेंज Road:RAJIV GANDHI MARG Area:NERUL(W)-NAVI MUMBAI
4114,SARSOLE BUS STN.,19.0406344029,73.014154277,Marathi:वंसत विहार Road:*NAME TO BE CONFIRMED Area:NERUL(E)-NAVI MUMBAI
4115,TERNA VIDYALAYA,19.0383220487,73.0145405151,Marathi:लोक पुरम Road:*NAME TO BE CONFIRMED Area:NERUL(E)-NAVI MUMBAI
4116,NERUL VILLAGE,19.036739893,73.0151413299,Marathi:एडेनवुड (ठाणे) Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4117,TERNA ENGG. COLLEGE(NERUL),19.0295997209,73.0169437744,Marathi:पवार नगर Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4118,NERUL GYMKHANA,19.0250558152,73.0144117691,Marathi:पवार नगर बस स्टेशन Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4119,SEAWOOD-DARAVE RLY.STN.,19.0212015121,73.0174587585,Marathi:श्री सिद्धसाई मंदिर Road:NATYA KALAVANT TRIMBAK TANDEL MARG Area:NERUL(W)-NAVI MUMBAI
4120,DON BOSCO VIDYALAYA(NERUL),19.0183614421,73.0160854675,Marathi:गौरव गार्डन कॉम्पलेक्स  Road:NATYA KALAVANT TRIMBAK TANDEL MARG Area:NERUL(W)-NAVI MUMBAI
4121,NERUL SECT.-42,19.0175499846,73.0170296051,Marathi:समर्थ नगर पंपिग स्टेशन Road:NATYA KALAVANT TRIMBAK TANDEL MARG Area:NERUL(W)-NAVI MUMBAI
4123,SAIDHAM SCTY.(NERUL),19.0105712866,73.0159567215,Marathi:म्हाडा कॉलोनी (ईंन्द्रलोक) Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4124,NERUL SECT.-46/48,19.008096213,73.0164287902,Marathi:ए. डी. मोदी ईंस्टीट्युट Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4125,SHANTARAM PATIL CHK.,19.0734906916,73.0025242187,Marathi:विद्यानगरी (ऊत्तर दरवाजा) Road:*NAME TO BE CONFIRMED Area:VASHI-NAVI MUMBAI
4126,MAHARASHTRA STATE CO-OP BANK,19.0696780735,73.0022667267,Marathi:शंक्शेश्वर बिलडींग (घाडकोपर) Road:*NAME TO BE CONFIRMED Area:VASHI-NAVI MUMBAI
4127,AMRUTA VIDYALAYA,19.0521956911,73.016772113,Marathi:संत राजिंदर सिंह आश्रम Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4130,SHAMRAO VITHAL BANK,19.0612818925,73.0044983246,Marathi:विठ्ठल मंदिर (मलाड) Road:*NAME TO BE CONFIRMED Area:VASHI-NAVI MUMBAI
4132,NERUL SECT.-02,19.0444882551,73.0178020813,Marathi:प्रसन्न जिवन सोसायटी Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4133,GAVDEVI CHK.(SARSOLE),19.042946725,73.0177162506,Marathi:पांचेश्वर महादेव मंदिर  Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4135,SEAWOOD DARAVE RLY.PHATAK,19.0233518185,73.0153559066,Marathi:रतन नगर (बोरीवली) Road:NATYA KALAVANT TRIMBAK TANDEL MARG Area:NERUL(W)-NAVI MUMBAI
4137,NATHU JOMA PATIL CHK.,19.0606328946,73.014025531,Marathi:स्वामी नारायण मंदिर (बोरीवली) Road:RAJIV GANDHI MARG Area:JUINAGAR (NAVI-MUMBAI)
4138,JUIPADA VILLAGE,19.0495589769,73.0171583511,Marathi:दौलत नगर नं. 4 (बोरीवली) Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4139,JUINGR.SECT.-25,19.0467599577,73.0175445892,Marathi:बालकम पाडा नं. 1 Road:JUINAGAR MARG Area:JUINAGAR (NAVI-MUMBAI)
4140,GANESH SCTY.(NERUL),19.0263946575,73.0158279754,Marathi:शितल गार्डन Road:*NAME TO BE CONFIRMED Area:NERUL(W)-NAVI MUMBAI
4141,AROGYA HOSPITAL/"D" MART,19.0188888873,73.015527568,Marathi:आरोग्य रुग्णालय/डी मार्ट Road:NATYA KALAVANT TRIMBAK TANDEL MARG Area:NERUL(W)-NAVI MUMBAI
2942,AMBEWADI (GOLIBAR),19.068915767,72.8424157294,Marathi:आंबे वाडी ( गोळीबार) Road:GOLIBAR MARG Area:SANTACRUZ (E)
2943,GOLIBAR MARG(A.HAMID CHK),19.0734990311,72.8433813246,Marathi:गोळीबार खार Road:GOLIBAR MARG Area:SANTACRUZ (E)
2944,4TH RD.( GOLIBAR ),19.0747360851,72.8426732214,Marathi:4था रोड (गोळीबार) Road:7TH ROAD Area:KHAR (E)
4144,RAILWAY SANKALP CLY.,19.0554627806,72.9329427124,Marathi:साठे नगर (ऐरोली) Road:VEER JIJAMATA BHOSLE MARG Area:SHIVAJI NAGAR
4145,ANNABHAU SATHE NGR.,19.0563551799,72.930024469,Marathi:विटावा Road:VEER JIJAMATA BHOSLE MARG Area:SHIVAJI NAGAR
4146,BANUBAI TANDEL MARKET,19.0162516443,73.017887912,Marathi:रेती बंदर नं. 2 Road:SANT DNYANESHWAR MAHARAJ MARG Area:NERUL(E)-NAVI MUMBAI
4147,ADARSH MARKET,19.0136955074,73.0179308273,Marathi:मुंब्रा रेल्वे स्टेशन Road:SANT DNYANESHWAR MAHARAJ MARG Area:NERUL(E)-NAVI MUMBAI
4148,DHARAN TALAO/ASHTAGANDHA STY.,19.0121131172,73.0178020813,Marathi:मुंब्रा पोलिस स्टेशन Road:RAMESH SHANKAR HEBBARE MARG Area:NERUL(E)-NAVI MUMBAI
4149,L & T GATE NO.6,19.1152776743,72.8888451486,Marathi:पोलिस कॉलोनी (कलीना) Road:BAJI PASALKAR MARG Area:POWAI
4152,HIRANANDANI GATE(THANE-W),19.2486272646,72.9782482644,Marathi: Road:*NAME TO BE CONFIRMED Area:THANE (W)
4153,INDIAN BANK(HIRANANDANI THANE-W),19.2498528765,72.9794606229,Marathi:अवर लेडी ऑफ सालव्शेन स्कुल Road:*NAME TO BE CONFIRMED Area:THANE (W)
4154,DHEERAJ ENCLAVE,19.2146053451,72.8695091772,Marathi:मेगामार्ट (वाशी) Road:SIDDHARTHA NAGAR MARG Area:KANDIVLI (E)
4155,SIDDHARTH NGR.,19.2156995067,72.8708824682,Marathi:एम. पी. एस. सी. / यु. पी. एस. पी. ट्रेनिंग सेंटर (बांन्द्रा) Road:SIDDHARTHA NAGAR MARG Area:KANDIVLI (E)
4156,JAIN MANDIR (SAMATA NGR.),19.2141056052,72.8722920103,Marathi:एल. एस. गव्हरमेंट ऑफिस (बांन्द्रा) Road:*NAME TO BE CONFIRMED Area:BORIVLI (E)
4160,E.S.I.S.HOSPITAL(THAKUR VILLAGE),19.2136132861,72.8776443228,Marathi:शिवराजे कॉम्पलेक्स एक्सटेंशन (मलाड) Road:THKUR VILLAGE EXTENSION ROAD Area:KANDIVLI (E)
4161,CHOGLE NGR.,19.2397530564,72.8699477512,Marathi:मुबंई बँक (बी. के. सी.) Road:GANPATRAO CHOGLE MARG Area:BORIVLI (E)
4162,ASHOKVAN MUN.SCHOOL,19.2410091231,72.8680809337,Marathi:महाराष्ट्र नगर (ठाणे) Road:GANPATRAO CHOGLE MARG Area:BORIVLI (E)
4163,S'CRUZ STN.RD/KASHIBAI HOSP.,19.084454718,72.8380990668,Marathi:खेवडा सर्कल (ठाणे) Road:SWAMI VIVEKANAND MARG Area:SANTACRUZ (W)
4164,S'CRUZ STN.RD/KASHIBAI HOSP.,19.0841606823,72.8376806422,Marathi:सेरीमोनियल हॉल (योगी हिल्स) Road:JUHU MARG Area:SANTACRUZ (W)
4165,SARVODAY HOSP/GHATKOPAR POST OFFICE,19.0894098113,72.908063102,Marathi:वंसत गार्डन (योगी हिल्स) Road:MAHATMA GANDHI MARG Area:GHATKOPAR (W)
4171,STATE BANK (BHANDUP VILLAGE),19.1474518306,72.9447686514,Marathi:भरतनगर बांन्द्रा Road:BHANDUP VILLAGE MARG Area:BHANDUP (E)
4174,BANDRA BUS STN.(W),19.0541800426,72.8394094919,Marathi:बांद्रा पोलीस स्टेशन Road:DHONDOPANT RAMJI VARASKAR MARG Area:BANDRA (W)
4176,GHANSOLI VILLAGE,19.1220246957,72.9994709139,Marathi:आझाद कंपाऊंड Road:*NAME TO BE CONFIRMED Area:GHANSOLI-NAVI MUMBAI
4177,PEER MEHMOOD SHAH BABA DARGAH,19.1130229262,73.0068952685,Marathi:मर्चंट आणि कंपनी Road:AIROLI MARG Area:GHANSOLI-NAVI MUMBAI
4178,GHANSOLI RLY.STN.,19.1162263148,73.0055219774,Marathi:सुपरनोवा इंन्डस्ट्रीयल ईस्टेट Road:AIROLI MARG Area:GHANSOLI-NAVI MUMBAI
4179,PANCHAVATI,19.1196323814,73.0047495012,Marathi:तलाठी ऑफिस Road:GHANSOLI STN.ROAD Area:GHANSOLI-NAVI MUMBAI
4180,SIDDHESHWAR SOC/GHARONDA,19.1238493189,73.0028612261,Marathi:शिंपोळी म्युंसिपल स्कुल Road:*NAME TO BE CONFIRMED Area:GHANSOLI-NAVI MUMBAI
4181,VADARPADA,19.1902202868,72.8721408525,Marathi:कोकणीपाडा एक्सटेंशन Road:KURAR VILLAGE EXTENSION ROAD Area:MALAD (E)
4182,SAIBABA NGR.(GOLIBAR),19.0702339754,72.8439821394,Marathi:डी. ए. वी. स्कुल (मुलुंड) Road:GOLIBAR MARG Area:KHAR (E)
4183,MACCHI MARKET(GOLIBAR),19.0716941325,72.8443040045,Marathi:नागरी निवारा विद्यालय Road:GOLIBAR MARG Area:KHAR (E)
4184,MUSLIM CEMETARY(GOLIBAR),19.0730934376,72.8440465125,Marathi:स्टॅनफोर्ड सोसायटी Road:GOLIBAR MARG Area:KHAR (E)
4190,CHAR NAL,18.9583704733,72.8363037471,Marathi:वाघबिळ गाव  Road:SARDAR VALLABHBHAI PATEL MARG Area:BHENDI BAZAAR
4191,KHAMBEKAR STREET,18.9583953436,72.8377339362,Marathi:मॅक्सस मॉल भायदंर Road:SARDAR VALLABHBHAI PATEL MARG Area:BHENDI BAZAAR
4192,DONGRI,18.9583547562,72.8367683409,Marathi:बांद्रा बस स्थानक (प) Road:SARDAR VALLABHBHAI PATEL MARG Area:DONGRI
4193,CHINCH BUNDER,18.9588879618,72.8384065989,Marathi:रामदा हॉटेल (पवई) Road:DR.MAISHERI MARG Area:SANDHURST ROAD (W)
4194,SANDHURST RD.STN.,18.9617145733,72.8389125146,Marathi:तापेश्वर मंदिर Road:DR.MAISHERI MARG Area:SANDHURST ROAD (W)
4195,NOORBAUG,18.9615002501,72.8369400023,Marathi:दुर्गामाता मंदिर Road:RAMCHANDRA BHAT MARG Area:DONGRI
4196,DR.M.IQBAL CHK.,18.9583953436,72.831918907,Marathi:मुंकुद कंपनी विटावा Road:SIR J.J.MARG Area:BHENDI BAZAAR
4197,UMARKHADI,18.9625509227,72.8373980883,Marathi:मुरढागाव Road:RAMCHANDRA BHAT MARG Area:DONGRI
4198,NOORBAUG,18.9625554992,72.8379055976,Marathi:रायगाव Road:DR.MAISHERI MARG Area:DONGRI
4199,ACHARYA ATRE CHK.,18.9980542639,72.8170993625,Marathi:मोरवागाव Road:DR.ANNIE BESANT MARG Area:WORLI
4204,KALA NGR.,19.0543293745,72.8461185235,Marathi:हॉटेल सॅनवर्स Road:SIR ALIYAWAR JUNG MARG Area:BANDRA (E)
4207,RANI LAXMIBAI CHK.,19.0431707916,72.8641044837,Marathi:कोळ्याची बावडी Road:VASANTRAO NAIK MARG Area:SION (E)
4208,VENUS BLDG/WATUMAL ENGG.COLLEGE,18.9958630521,72.8129365741,Marathi:गोराई क्रॉस सर्कल Road:KHAN ABDUL GAFFARKHAN MARG Area:WORLI
4209,WORLI SEA FACE (S),18.9964514359,72.8124645053,Marathi:खजुरवाडी Road:KHAN ABDUL GAFFARKHAN MARG Area:WORLI
4210,FLORA HOTEL/WATUMAL ENGG.COLLEGE,18.9950514848,72.8136017619,Marathi:ग्लोबल पागोडा Road:DR.R.G.THADANI MARG Area:WORLI
4211,GKD (ONLY ALIGHTING),19.087815445,72.9183803156,Marathi:एस्सेल वर्ल्ड Road:VASANTDADA PATIL MARG Area:GHATKOPAR (E)
4213,MANEKJI COOPER SCHOOL,19.0879011222,72.8272427576,Marathi:‌एस.बी.पी.टी. कॉलेज Road:JUHU TARA MARG Area:JUHU
4214,NARAYAN PUJARI NGR.,19.0048806503,72.8135159312,Marathi:व्होलटास ठाणे Road:KHAN ABDUL GAFFARKHAN MARG Area:WORLI
4215,ACHARYA ATRE CHK.,18.9985411959,72.8171637355,Marathi:आचार्य अत्रे चौक Road:DR.R.G.THADANI MARG Area:WORLI
4216,COCACOLA CO.,19.2809516237,72.9285866987,Marathi: Road:GHODBUNDER ROAD Area:GHODBUNDER
4217,POUSHMATA MANDIR,19.2802224735,72.955795027,Marathi: Road:GHODBUNDER ROAD Area:GHODBUNDER
4218,SHREE KRISHNA NGR.,19.2354545388,72.8630764258,Marathi: Road:SIR ALIYAWAR JUNG MARG Area:BORIVLI (E)
4219,SHREE KRISHNA NGR.(BORIVLI),19.2321281446,72.8632170672,Marathi: Road:SIR ALIYAWAR JUNG MARG Area:BORIVLI (E)
4220,VEER KOTWAL UDN.(NEAR UDYAN),19.0211075773,72.8418060737,Marathi: Road:N.C.KELKAR MARG Area:DADAR (W)
4224,GIRDHAR PARK,19.1959015071,72.8315167236,Marathi: Road:CHUNILAL GIRIDHARILAL MARG Area:MALAD (W)
4225,CANARA BANK(KHARGHAR),19.0351038096,73.0636412484,Marathi: Road:*NAME TO BE CONFIRMED Area:KHARGHAR
4226,RAJKUMAR,19.1265643127,72.8384624784,Marathi: Road:JAY PRAKASH MARG Area:ANDHERI (W)
4227,BEST QUARRIES,19.109510478,72.9034909225,Marathi: Road:CHANDIVLI VILLAGE MARG Area:CHANDIVLI
4228,LAL BAHADDUR SHASTRI COLLEGE,18.9835045295,72.8583479654,Marathi: Road:HAY BUNDER MARG Area:REAY ROAD (E)
4229,BHOIWADA,19.0055873617,72.8452532927,Marathi:भोइवाडा Road:JERBAI WADIA MARG Area:BHOIWADA
4230,GOVANDI STN.RD.(E),19.052834414,72.9142288755,Marathi: Road:SHIVJIBHAI DEVSHI MARG Area:DEONAR
4231,NEW INDIA QTRS.,19.1150323165,72.8359293612,Marathi: Road:WIRELESS MARG Area:ANDHERI (W)
4232,JUHU SHOPPING CENTRE,19.1160764531,72.833064762,Marathi: Road:WIRELESS MARG Area:ANDHERI (W)
4233,VILE PARLE STN.(E),19.0986356202,72.8445779001,Marathi: Road:JAWAHARLAL NEHRU MARG Area:VILE PARLE (E)
4234,SAIBABA NGR.(KANDER-PADA),19.2600483274,72.854653682,Marathi: Road:*NAME TO BE CONFIRMED Area:DAHISAR (W)
4235,PUSHP HERITAGE,19.2101642795,72.8376382869,Marathi: Road:DATTA MANDIR MARG Area:KANDIVLI (W)
4237,DAHANUKAR WADI,19.2087914646,72.8377796006,Marathi: Road:GOKHALE MARG Area:KANDIVLI (W)
